ماه,برنامه سرمایه‌گذاری,حجم سرمایه‌گذاری,بازپرداخت,جریان نقدی
1,2.85%,"46,084,500.00",0,"-46,084,500.00"
2,4.34%,"70,177,800.00",0,"-70,177,800.00"
3,3.87%,"62,577,900.00",0,"-62,577,900.00"
4,3.71%,"59,990,700.00",0,"-59,990,700.00"
5,3.70%,"59,829,000.00",0,"-59,829,000.00"
6,3.70%,"59,829,000.00",0,"-59,829,000.00"
7,7.41%,"119,819,700.00",0,"-119,819,700.00"
8,7.25%,"117,232,500.00",0,"-117,232,500.00"
9,14.02%,"226,703,400.00",0,"-226,703,400.00"
10,8.98%,"145,206,600.00",0,"-145,206,600.00"
11,6.89%,"111,411,300.00",0,"-111,411,300.00"
12,2.52%,"40,748,400.00",0,"-40,748,400.00"
13,5.83%,"94,271,100.00",0,"-94,271,100.00"
14,1.31%,"21,182,700.00","50,000,000.00","28,817,300.00"
15,6.28%,"101,547,600.00","50,000,000.00","-51,547,600.00"
16,2.05%,"33,148,500.00","50,000,000.00","16,851,500.00"
17,5.83%,"94,271,100.00","50,000,000.00","-44,271,100.00"
18,0.93%,"15,038,100.00","50,000,000.00","34,961,900.00"
19,4.83%,"78,101,100.00","50,000,000.00","-28,101,100.00"
20,0.41%,"6,629,700.00","50,000,000.00","43,370,300.00"
21,2.06%,"33,310,200.00","50,000,000.00","16,689,800.00"
22,0.06%,"970,200.00","50,000,000.00","49,029,800.00"
23,0.61%,"9,863,700.00","50,000,000.00","40,136,300.00"
24,0.56%,"9,055,200.00","50,000,000.00","40,944,800.00"
25,0.00%,0,"100,000,000.00","100,000,000.00"
26,0.00%,0,"100,000,000.00","100,000,000.00"
27,0.00%,0,"100,000,000.00","100,000,000.00"
28,0.00%,0,"100,000,000.00","100,000,000.00"
29,0.00%,0,"100,000,000.00","100,000,000.00"
30,0.00%,0,"100,000,000.00","100,000,000.00"
31,0.00%,0,"100,000,000.00","100,000,000.00"
32,0.00%,0,"100,000,000.00","100,000,000.00"
33,0.00%,0,"100,000,000.00","100,000,000.00"
34,0.00%,0,"100,000,000.00","100,000,000.00"
35,0.00%,0,"100,000,000.00","100,000,000.00"
36,0.00%,0,"100,000,000.00","100,000,000.00"
37,0.00%,0,"100,000,000.00","100,000,000.00"
38,0.00%,0,"100,000,000.00","100,000,000.00"
39,0.00%,0,"100,000,000.00","100,000,000.00"
40,0.00%,0,"100,000,000.00","100,000,000.00"
41,0.00%,0,"100,000,000.00","100,000,000.00"
42,0.00%,0,"30,000,000.00","30,000,000.00"
,,"1,617,000,000.00","2,280,000,000.00",
